category,subcategory,documents,dominance,effect_size,std_error,significant
Geography,Other,23,0.22070411526501169,0.07095357970953617,0.026405592221192653,TRUE
Geography,SIDS,12,0.47634564919461403,0.3021152042056488,0.018585308482985306,TRUE
Geography,LLDC,11,0.27605453845458267,0.16258429127693733,0.028051736301508572,TRUE
Geography,Overall,46,0.3243681009714028,0.17855102506404077,NA,NA
Income,Upper middle income,21,0.17542889639552248,0.03879424603515285,0.02669011524385857,FALSE
Income,High income,5,0.2894776920201515,0.16450019507154806,0.038757274212516755,TRUE
Income,Lower middle income,11,0.3053126203698632,0.13667790981423875,0.02724383176398533,TRUE
Income,Low income,9,0.416657584949191,0.10951764772098047,0.027801182603439428,TRUE
Income,Overall,46,0.29671919843368205,0.11237249966048003,NA,NA
Region,Europe & Central Asia,6,0.5475790020707333,0.14809681663678406,0.020505142695492962,TRUE
Region,Latin America & Caribbean,9,0.34709145289223997,0.14363033268999278,0.02123515225371479,TRUE
Region,South Asia,4,0.6487166225396777,0.36964673916865787,0.026717520808614975,TRUE
Region,Sub-Saharan Africa,13,0.3672065937271535,0.10729660713906293,0.024925472754893385,TRUE
Region,East Asia & Pacific,9,0.40567899681653524,0.128009920968283,0.02923220992274372,TRUE
Region,"Middle East, North Africa, Afghanistan & Pakistan",5,0.28565663432356114,0.12345811838822948,0.04318975110560266,TRUE
Region,Overall,46,0.4336548837283168,0.17002308916516837,NA,NA
Time,Middle,17,0.31949678821517474,0.15311304656341027,0.020662567386856037,TRUE
Time,Late,18,0.2320293326120531,0.06825394380911481,0.02286455029773466,TRUE
Time,Early,11,0.1488795866757595,0.035568302748443185,0.027972322172520797,FALSE
Time,Overall,46,0.23346856916766245,0.08564509770698941,NA,NA
